,address,lat,lon
0,1020 STATE HIGHWAY 16 SOUTH FREDERICKSBURG TX,30.2620571,-98.8816906
1,809 JACKSON BURKE SD,43.1824998,-99.2920453
2,525 N GARFIELD AVE MONTEREY PARK CA,34.0682622,-118.1234654
3,4515 COORS BLVD NW ALBUQUERQUE NM,35.13433390000001,-106.70218
4,201 MANOR PLACE GREENPORT NY,41.1106333,-72.360942
5,2900 CHANTICLEER AVE SANTA CRUZ CA,36.987682,-121.9774604
6,404 KEENE STREET COLUMBIA MO,38.9574815,-92.28834739999999
7,5501 OLD YORK ROAD PHILADELPHIA PA,40.0370599,-75.14370590000001
8,404 WEST FOUNTAIN STREET ALBERT LEA MN,43.6524998,-93.37306199999999
9,"706 EWING AVE, PO BOX 310 GENOA NE",41.4437836,-97.7334802
10,2219 DILLON CLOVIS NM,34.4225112,-103.2329527
11,5959 NW 7TH ST MIAMI FL,25.7786318,-80.2932781
12,18500 KATY FWY HOUSTON TX,29.7874806,-95.6979868
13,19126 STONEHUE SAN ANTONIO TX,29.6282341,-98.4924357
14,593 EDDY STREET PROVIDENCE RI,41.8107889,-71.4090636
15,727 EAST 1ST ST MINDEN NE,40.4954365,-98.94246609999999
16,5620 READ BOULEVARD NEW ORLEANS LA,30.0287823,-89.97536699999999
17,"6051 U.S. HWY 49, 5TH FLOOR HATTIESBURG MS",31.3184644,-89.3295143
18,6 GLEN COVE DRIVE ROCKPORT ME,44.1441064,-69.0842265
19,300 WEST MAY STREET MARENGO IA,41.8019458,-92.07321309999999
20,1516 JEFFERSON HIGHWAY NEW ORLEANS LA,29.9625332,-90.14650019999999
21,1200 OLD YORK ROAD ABINGTON PA,40.1192757,-75.1206981
22,1277 RAHWAY AVENUE AVENEL NJ,40.5849748,-74.267614
23,1309 SHELDON RD GRAND HAVEN MI,43.05080299999999,-86.2290226
24,450 EASTVOLD AVENUE ORTONVILLE MN,45.315343,-96.4456024
25,800 GARFIELD AVE PARKERSBURG WV,39.269443,-81.5601568
26,112 NORTH SEVENTH STREET CHAMBERSBURG PA,39.9341507,-77.6462744
27,10400 HALIGUS ROAD HUNTLEY IL,42.1780903,-88.3996337
