,address,coordinates
0,"600 S White Horse Pike, Hammonton, NJ 08037, USA","39.63223626,-74.77258356"
1,"240 Maple Ave, Mukwonago, WI 53149, USA","42.8496663,-88.3129189"
2,"961 Spring Creek Rd, East Ridge, TN 37412, USA","34.99880292,-85.21894236"
3,"1700 Brazos Ave, Rockdale, TX 76567, USA","30.65097889,-97.02066652"
4,"535 Hospital Rd, New Richmond, WI 54017, USA","45.11776075,-92.55550038"
5,"815 Market St, Galveston, TX 77550, USA","29.3094949,-94.77699095"
6,"350 Louisiana Ave #2130, Libby, MT 59923, USA","48.39154557,-115.547972"
7,"4930 Lindell Blvd, St. Louis, MO 63108, USA","38.64307325,-90.26312421"
8,"459 E 1st St, Fond du Lac, WI 54935, USA","43.77639955,-88.42923391"
9,"1405 Mill St, New London, WI 54961, USA","44.38115627,-88.73370085"
10,"5101 N Jackson Rd, McAllen, TX 78504, USA","26.24610104,-98.1985359"
11,"830 MS-6, Tupelo, MS 38801, USA","34.24195934,-88.71644811"
12,"844 Passover Rd, Osage Beach, MO 65065, USA","38.13496351,-92.62888933"
13,"30 Crescent Ave, Saratoga Springs, NY 12866, USA","43.05813047,-73.78539606"
14,"209 NW 8th St, Seminole, TX 79360, USA","32.72162797,-102.6548789"
15,"1400 10th St, Plankinton, SD 57368, USA","43.72510361,-98.46573475"
16,"700 E Marshall Ave, Longview, TX 75601, USA","32.50051191,-94.73066699"
17,"268 Bagley Cir, Marion, VA 24354, USA","36.83321553,-81.5101823"
18,"600 TX-349, Iraan, TX 79744, USA","30.91483088,-101.9074443"
19,"W48J+43 Farmers Branch, TX, USA","32.91526053,-96.86979587"
20,"152 Waccamaw Medical Park Ct, Conway, SC 29526, USA","33.7869125,-78.99784761"
21,"330 N Broad St, Forest, MS 39074, USA","32.36603131,-89.47023244"
22,"5409 Vern Holmes Dr, Stevens Point, WI 54482, USA","44.498931,-89.516533"
23,"414 Navarro St #1616, San Antonio, TX 78205, USA","29.42567199,-98.489416"
24,"3VFQ+2C Columbia, SC, USA","34.07261656,-81.11140112"
25,"225 Scholl St, Amery, WI 54001, USA","45.30244842,-92.36616471"
26,"945 E Zero St, Ainsworth, NE 69210, USA","42.54451346,-99.84956105"
27,"113 Airport Rd, Sulphur Springs, TX 75482, USA","33.15762802,-95.60014471"
28,"109 Bee St, Charleston, SC 29401, USA","32.78417401,-79.95400559"
29,"1700 E 38th St, Marion, IN 46953, USA","40.5204615,-85.63826841"
30,"510 E Stoner Ave, Shreveport, LA 71101, USA","32.50303027,-93.722022"
31,"6399 Director's Parkway, #200, Abilene, TX 79606, USA","32.37142823,-99.74384655"
32,"900 Main St # A6-14, Roosevelt Island, NY 10044, USA","40.77030214,-73.94214388"
33,"172 4th St SE, Huron, SD 57350, USA","44.36153118,-98.21105963"
34,"2114 N Veterans Blvd, Eagle Pass, TX 78852, USA","28.7204202,-100.4759701"
35,"125 SW 7 St, Williston, FL 32696, USA","29.38403039,-82.45498687"
36,"800 S Ash St, Nevada, MO 64772, USA","37.83118452,-94.36048553"
37,"515 W Mayfield Rd #102, Arlington, TX 76014, USA","32.69232531,-97.11271638"
38,"2380 McGinley Rd, Monroeville, PA 15146, USA","40.424853,-79.74575"
39,"4848 NE Stallings Dr STE 103, Nacogdoches, TX 75965, USA","31.65314431,-94.65387312"
40,"2500 N Esplanade St #101, Cuero, TX 77954, USA","29.11261503,-97.28334117"
41,"1001 McArthur St, Manchester, TN 37355, USA","35.46900639,-86.08407034"
42,"1100 Andre St STE 205, New Iberia, LA 70563, USA","30.00690698,-91.79452385"
43,"301 E 2nd St, Richland Center, WI 53581, USA","43.33870228,-90.38227434"
44,"7200 SW 9th Ave, Amarillo, TX 79106, USA","35.20670495,-101.920865"
45,"1401 W Central Park Ave, Davenport, IA 52804, USA","41.54367413,-90.59376514"
46,"129 6th Ave SE, Pine City, MN 55063, USA","45.82375708,-92.96437531"
47,"14000 Boys Town Hospital Rd, Boys Town, NE 68010, USA","41.2500045,-96.1340719"
48,"916 4th Ave SW, Pipestone, MN 56164, USA","43.9909794,-96.32323883"
49,"443 S Soto St, Los Angeles, CA 90033, USA","34.03960373,-118.2127942"
50,"7609 Preston Rd Ste P2100, Plano, TX 75024, USA","33.07853049,-96.80044497"
51,"66731 Old Twenty One Rd, Cambridge, OH 43725, USA","40.06689584,-81.58206031"
52,"1700 Cogdell Blvd, Snyder, TX 79549, USA","32.68793228,-100.9170925"
53,"1231 N 29th St, Billings, MT 59101, USA","45.79431262,-108.5190528"
54,"123a Mc Comb Ave, Port Gibson, MS 39150, USA","31.94631084,-90.98471094"
55,"5CJP+96 Lakewood, WA, USA","47.18095643,-122.564431"
56,"2809 Denny Ave, Pascagoula, MS 39581, USA","30.37639407,-88.53344391"
57,"136 Wheelertown Ave, Pikeville, TN 37367, USA","35.62068597,-85.19086883"
58,"515 Miranda Ave, Georgiana, AL 36033, USA","31.63632159,-86.74307505"
59,"11500 Space Center Blvd, Houston, TX 77059, USA","29.62414628,-95.14260386"
60,"2150 Hospital Dr, Windom, MN 56101, USA","43.87910241,-95.11331123"
61,"604 Old 63 N, Columbia, MO 65201, USA","38.95798994,-92.31131232"
62,"10655 Steepletop Dr, Houston, TX 77065, USA","29.92712973,-95.58969896"
63,"3160 Geneva St, Los Angeles, CA 90020, USA","34.06720478,-118.2863921"
64,"605 E San Antonio St # 508, Victoria, TX 77901, USA","28.80806986,-96.99834405"
65,"2001 N Oregon St, El Paso, TX 79902, USA","31.77100376,-106.4998735"
66,"10085 Double R Blvd #205, Reno, NV 89521, USA","39.4361337,-119.759815"
67,"16000 Lee Hwy, Abingdon, VA 24211, USA","36.72291339,-81.91212146"
68,"1201 Broad Rock Blvd, Richmond, VA 23249, USA","37.49807429,-77.46768488"
69,"103 North St, Bristol, VA 24201, USA","36.5970718,-82.21682765"
70,"915 E 5th St, Alton, IL 62002, USA","38.89080496,-90.17092928"
71,"9150 Huebner Rd, San Antonio, TX 78240, USA","29.52688039,-98.59497177"
72,"405 Stageline Rd, Hudson, WI 54016, USA","44.96080968,-92.71761001"
73,"1756 Sagamore Rd, Northfield, OH 44067, USA","41.3489516,-81.57257847"
74,"2829 US-76, Mullins, SC 29574, USA","34.18627984,-79.32583979"
75,"1800 12th St # 1C, Meridian, MS 39301, USA","32.36961231,-88.6972544"
76,"11801 South Fwy, Burleson, TX 76028, USA","32.58662808,-97.31695511"
77,"110 S 9th Ave, Yakima, WA 98902, USA","46.5969318,-120.5210269"
78,"5502 S McColl Rd, Edinburg, TX 78539, USA","26.25267437,-98.20309755"
79,"300 Ridge Medical Plaza Rd, Edgefield, SC 29824, USA","33.77900025,-81.92970697"
80,"810 Jasmine St, Omak, WA 98841, USA","48.39656746,-119.5465259"
81,"1900 S D St, McAllen, TX 78503, USA","26.1838146,-98.2183074"
82,"12301 S Main St, Houston, TX 77035, USA","29.64637014,-95.45758019"
83,"1200 W Fairview St, Colfax, WA 99111, USA","46.86893031,-117.3760498"
84,"4411 E Kings Canyon Rd, Fresno, CA 93702, USA","36.73705714,-119.7521144"
85,"2947 Okatie Hwy, Bluffton, SC 29910, USA","32.28574066,-80.94048577"
86,"705 8th St, Story City, IA 50248, USA","42.19007926,-93.59411806"
87,"4600 W Schroeder Dr, Brown Deer, WI 53223, USA","43.18730941,-87.9676262"
88,"101 Elm Ave, Roanoke, VA 24013, USA","37.26607749,-79.93920592"
89,"1121 N Church St, Greensboro, NC 27401, USA","36.09101799,-79.78604811"
90,"104 7th St, Bay City, TX 77414, USA","28.98004701,-95.9916774"
91,"7555 Pioneers Blvd, Lincoln, NE 68506, USA","40.76924571,-96.61730779"
92,"17080 Medical Center Dr, Baton Rouge, LA 70816, USA","30.44279574,-90.9998043"
93,"34515 9th Ave S, Federal Way, WA 98003, USA","47.29269775,-122.3273924"
94,"984 Medical Dr, Brigham City, UT 84302, USA","41.49122715,-112.0257557"
95,"2251 N Shore Dr, Rhinelander, WI 54501, USA","45.63947041,-89.37482659"
96,"3531 Lakeland Dr, Flowood, MS 39232, USA","32.33159686,-90.10023004"
97,"159 Hartley Way, Pearisburg, VA 24134, USA","37.33307907,-80.71302141"
98,"239 Bowling Green Rd, Lexington, MS 39095, USA","33.11168955,-90.03073131"
99,"1200 College Dr, Rock Springs, WY 82901, USA","41.58495115,-109.2355009"
